"subject_id","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","comment"
58642605,"23","May","1990","24","May","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA,NA
58642606,"4","June","1990","8","June","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,NA
58642607,"20","September","1982","22","September","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA,NA
58642608,"26","July","1984","26","July","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA,NA
58642609,"21","September","1982","22","September","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA,NA
58642610,"27","February","1983",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0175.jpg",NA,NA
58642611,"15","May","1985",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0991.jpg",NA,NA
58642612,"20","October","1982","20","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA,NA
58642613,"30","April","1969",NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA,NA
58642614,"5","July","1984","9","August","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA,NA
58642615,"7","September","1984",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_NorthHoist_GROW_Doc0619.jpg",NA,NA
58642616,"2","July","1985",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_NorthHoist_GROW_Doc0622.jpg",NA,NA
58642617,"23","July","1992",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg",NA,NA
58642618,"2","July","1985",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_SouthHoist_GROW_Doc0630.jpg",NA,NA
58642619,NA,"August","1990",NA,"September","1990","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix47_GROW.jpg",NA,NA
58642620,"30","June","1994",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg",NA,NA
58642621,"7","August","1989","28","August","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA,NA
58642622,"10","May","1984",NA,"May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA,NA
58642623,"24","March","1993",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_CornwellImpoundment_GROW_054.jpg",NA,NA
58642625,"17","April","1995","8","May","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA,NA
58642626,"21","October","1987","29","October","1987","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Mullett_GROW_299.jpg",NA,NA
58642627,"23","January","1989","23","January","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Roberts_GROW_001.jpg",NA,NA
58642628,"29","September","1992","29","September","1992","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Twins_GROW_137.jpg",NA,NA
58642629,"25","June","1969","25","June","1969","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA,NA
58642630,"15","September","1977",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_WeberLittle_GROW_009.jpg",NA,NA
58642631,"22","June","1976",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA,NA
58642632,"15","September","1977",NA,"September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_009.jpg",NA,NA
58642633,"15","October","1992",NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_102.jpg",NA,NA
58642634,"25","April","1984",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Caribou_GROW_003.jpg",NA,NA
58642635,"22","September","1993","22","September","1993","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_002.jpg",NA,NA
58642636,"3","October","1980",NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Highbanks_GROW_002.jpg",NA,NA
58642637,"11","January","1984","15","January","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Munuscong_GROW_004.jpg",NA,NA
58642638,"7","June","1983","10","June","1983","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_003.jpg",NA,NA
58642639,"30","October","1980","30","October","1980","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg",NA,NA
58642640,"7","June","1983","10","June","1983","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_004.jpg",NA,NA
58642641,"7","July","1983",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_004.jpg",NA,NA
58642642,"7","July","1983",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_005.jpg",NA,NA
58642644,"22","June","1981","26","June","1981","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,NA
58642645,"8","June","1984","8","June","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Crooked_GROW_185.jpg",NA,NA
58642646,"29","April","1991","2","May","1991","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA,NA
58642647,"4","March","1989",NA,"March",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Gut_GROW_002.jpg",NA,NA
58642648,"16","June","1981","16","June","1981","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_002.jpg",NA,NA
58642649,"18","June","1981",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA,NA
58642650,"28","April","1969",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Clear_GROW_002.jpg",NA,NA
58642651,"7","December","1993",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA,NA
58642652,"25","June","1984","27","June","1984","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA,NA
58642653,"30","August","1966",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Elk_GROW_002.jpg",NA,NA
58642654,"29","October","1986",NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Pratts_GROW_002.jpg",NA,NA
58642655,"16","May","1988","19","May","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg",NA,NA
58642656,"13","June","1991",NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_BearWest_GROW_004.jpg",NA,NA
58642657,"5","July","1988","5","July","1988","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Ross_GROW_013.jpg",NA,NA
58642658,"7","June","1995","8","June","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_DeerIsland_GROW_024.jpg",NA,NA
58642659,"25","August","1981","26","August","1981","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Bluebell_GROW_002.jpg",NA,NA
58642660,"13","July","1988",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Cisco_GROW_018.jpg",NA,NA
58642661,"7","June","1995","8","June","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_DeerIsland_GROW_028.jpg",NA,NA
58642663,"7","June","1995","8","June","1995","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_DeerIsland_GROW_027.jpg",NA,NA
58642664,NA,"April","1976",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Gogebic_GROW_004.jpg",NA,NA
58642665,"18","August","1981","18","August","1981","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA,NA
58642666,NA,"April","1977",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Gogebic_GROW_005.jpg",NA,NA
